,Date,Content
58,2021-11-28 0:19:27,"Knpa inih indodax habis di updet ko gk bisa di buka apk nya sudah masukan pin juga,bintang 1 dlu,"
341,2021-10-27 12:44:21,APK sering Forced closed woiiii. Tolong diperbaiki
861,2021-10-26 2:32:47,Aplikasi indodax masih dalam proses pemeliharaan . Maksdnyaa knp ini yah ka .. g sb di bukaaa oohhhhhh
807,2021-11-20 15:02:39,"Mohon pencerahan..dri tdi malam mau login ke INDODAX ko malah di suruh ferivikasi , tidak sprti biasanya ferivikasi apa ? Kode masuk lewat sms mo d masukin kemana ? Login lewat website ya ga bsa..gmna solusinya ?; trmksh"
1025,2021-10-30 3:23:41,"Tolong servernya di tingkatkan. Khan tahu sendiri kripto bukan mainan. Masa servernya kalah sama game yang gratisan yang tidak perlu keluar uang sepeserpun. Terpaksa nih bintang 5 berharap indodax jaya selalu dan kedepannya tidak ada lagi yang di rugikan, hanya karena server down. Ini demi kenyamanan semua member indodax. Tolong perbaiki dan tingkatkan lagi servernya. Terimakasih"
414,2021-10-14 0:10:37,"Indodax, indikator dimunculkan dong di mode smartphone, atau kalau bisa grafik mode full yg zoomable diberi tombol jual atau beli, pasti perfect ini. Di laptop sangat sip, tapi tidak selalu dekat laptop. Terima kasih sebelumnya"
342,2021-11-14 12:21:08,Kok g bisa masuk sih
142,2021-12-01 6:17:27,Apk penipu 👎👎
1157,2021-12-02 0:35:31,Aplikasinya mantap
294,2021-11-27 7:22:01,Jika di setiap coin ada stop sell nya saya kasih bintang 5
1067,2021-10-14 23:43:19,Mudah di mengerti..gak terlalu rumit...hanya saran tiap buka aplikasi nya..ada iringan music instrumen dong..seperti suara saxophone...biar rilex.. saar liat harga coin naik atw turun jadi sedikit tenang..gak panik 😉👌
156,2021-11-30 2:36:47,Mau nanya saja harus nunggu antrian EMGnya ga ada lagih yh pegawainya hadeh live chat saja harus nunggu antrian
1136,2021-12-02 11:12:34,"Good app,,,"
1099,2021-10-23 0:15:34,"Semakin lama semakin baik perkembangan sistemnya, tapi akan lebih baik dengan adanya penanganan cepat saat market panic. Terima kasih Indodax"
275,2021-10-21 4:40:18,"Exchange terbesar di indonesia , tapi servernya down kalau lagi ramai transaksi.. tolong diperbaiki"
110,2021-12-02 12:53:35,"Hanya mencari keuntungan aplikasi semata , tanpa memikirkan kenyamanan pengguna , buat yang belum instal berpikirlah 1000x untuk menggunakan indodax"
507,2021-10-11 23:37:59,"Sudah banget daftar nya, pemberitahuan nama pengguna sudah digunakan"
410,2021-11-14 1:46:03,"Semuanya oke, kecuali biaya penarikannya, masa mau narik 50ribu doang biaya adminnya 25ribu mahal banget, saran saya kalo narik dibawah 100ribu biayanya 5ribu aja, kalo diatas 500ribu baru 10ribu, misal narik 1jt baru 25ribu gapapa, kalo kaya gini memeras investor kecil & memperkaya investor yang sudah besar"
169,2021-11-29 7:50:55,Listing coin dipilih dong.. Sangkut ATT rugi 6jt Sangkut vidyx sangkut 20jt 😫😖😭😭😭😭😭😭😭
435,2021-11-14 1:03:57,"Kenapa coin shiba inu di anggap ilegal, padahal sudah masuk indodax. Mohon perhatiannya. Salam dari ShibaArmy"
812,2021-11-13 0:14:58,"Buat develop, tolong fitur Stop Loss jangan cuman di coin XRP, kalau bisa di semua koin, biar trader ga kepikiran setiap open posisi. Lengkapi dengan Short selling juga lah kalo bisa."
150,2021-11-30 7:57:40,Selalu salah masuk pin padahal sudah benar input pin baru tetapi tetap salah pin
1051,2021-10-26 12:18:29,Indodax bagus.... Harus tetap mempertahankan kualita kecepatan pengiriman. Dan biaya emmm cukup lumayan. Dan setiap pencairan dana mohon jangan dipersulit ya.
480,2021-11-30 13:49:49,Beli coin usdt kenapa lama sekali masuknya
11,2021-12-01 13:07:23,"Aplikasi nya dah kaya calo, Beli Crypto diharga yg sama masih aja pending giliran turun langsung kebeli giliran naik ya bgtu gak jadi kebeli, jadi nunggu rugi dulu baru bisa beli wkwkwk, Calooo caloo"
139,2021-12-01 6:27:30,Kenapa pin saya gak bisa min maaf dan kenapa saya perbarui gak dpt kode otp
70,2021-11-22 12:40:09,HNST Tolong di delisted dari indodax. Koin gak jelas banyak yang beli malah turun.
543,2021-10-29 7:18:51,"Server jelek sering eror, tidak ada inovasi"
590,2021-11-20 7:32:02,"Saya beri bintang 3 dulu, nanti kalau saya berhasil transfer saldo coin, baru saya beri bintang 5 full."
